Name,ID,Cloudiness,Temperature,Max Temperature,Latitude,Longitude,Humidity,Wind Speed
Port Alfred,964432,43,59.74,59.74,-33.5906,26.891,31,11.9
Vaini,4032243,20,80.76,80.76,-21.2,-175.2,83,9.22
